,Show_Number,Air_Date,Round,Category,Value,Question,Answer,Float_Value,,
184824,3695,2000-09-29,Double Jeopardy!,"""DIAMOND""S",$800,He's played the King of Siam on Broadway & Ritchie Valens on the big screen,Lou Diamond Phillips,800,,
184966,4270,2003-03-07,Jeopardy!,ENGLISH LESSON,$400,"The organization of events or storylines in a tale, as in Stephen King's ""Graveyard Shift""",plot,400,,
185105,368,1986-02-05,Double Jeopardy!,ENGLISH HISTORY,$400,In 1209 the Pope punished King John by doing this to him,excommunication,400,,
185320,3082,1998-01-13,Jeopardy!,CHEESE IT!,$300,"It may have been the Meaux type of this French cheese the 1814-1815 Congress of Vienna titled ""The King of Cheeses""",Brie,300,,
185477,4911,2006-01-09,Double Jeopardy!,PLAYING DOCTOR,$1600,"A 1964 film featured Major ""King"" Kong, Gen. Buck Turgidson & this title character",Dr. Strangelove,1600,,
185592,3078,1998-01-07,Double Jeopardy!,ROYALTY,$800,This country's King Carl XVI Gustaf was born Carl Gustaf Folke Hubertus at Haga Castle in 1946,Sweden,800,,
185687,2933,1997-05-07,Jeopardy!,"FILE UNDER ""T""",$400,"He was sent to bring Isolde to Cornwall to marry his uncle, King Mark",Tristan,400,,
185812,4847,2005-10-11,Double Jeopardy!,MUSICAL THEATRE,$400,"It's the show in which Simba sings ""I Just Can't Wait To Be King""",The Lion King,400,,
185873,6285,2012-01-06,Double Jeopardy!,WRITE NOW!,$800,"H. Rider Haggard is said to have penned ""King Solomon's"" these in a little over a month to back up a boast he'd made",Mines,800,,
186126,5664,2009-04-02,Double Jeopardy!,AMERICAN NO MORE,$1200,"The ""King of Beers"" was usurped when this country's InBev bought Budweiser in 2008",Belgium,1200,,
186184,6126,2011-04-11,Double Jeopardy!,ANCIENT EGYPT,$1200,"During the Old Kingdom, Egyptians would paint their eyelids this color using malachite, an oxide of copper",green,1200,,
186239,5339,2007-11-22,Double Jeopardy!,EUROPEAN HISTORY,$800,"He was King of England from 1189 to 1199 but spent only 6 months there; the rest of the time, he was off fighting",Richard the Lionheart,800,,
186485,3900,2001-07-13,Double Jeopardy!,EARLY TIBET,$600,7th century King Song-Tsen Gampo introduced this religion to Tibet by marrying 2 princesses who practiced it,Buddhism,600,,
186524,5888,2010-03-31,Jeopardy!,MYTHING IN ACTION,$800,One legend says this was given by the Lady of the Lake & thrown back in the lake on King Arthur's death,Excalibur,800,,
186900,4996,2006-05-08,Double Jeopardy!,A WORLD OF FACTS,$400,"In 1805 in Milan's cathedral, this non-Italian was crowned King of Italy",Napoleon,400,,
186985,6259,2011-12-01,Double Jeopardy!,MINER CLASSICS,"$3,000","1917's ""King Coal"" by this author was to the mining industry what an earlier work had been to the meat-packing industry",Upton Sinclair,3000,,
187090,5333,2007-11-14,Double Jeopardy!,HISTORICAL ROLES,$1200,"In ""Time Bandits"", Sean Connery plays this King of Mycenae who led the Greeks in the ""Iliad""",Agamemnon,1200,,
187586,3017,1997-10-14,Jeopardy!,MUSICAL THEATRE,$200,"Of ""Shogun"", ""King Rat"" or ""Tai-Pan"", the James Clavell novel that became a musical in 1990",Shogun,200,,
187592,3017,1997-10-14,Jeopardy!,MUSICAL THEATRE,$300,"In 1996 this star of ""La Bamba"" & ""Young Guns"" began reigning on Broadway in ""The King And I""",Lou Diamond Phillips,300,,
187651,5264,2007-06-28,Jeopardy!,CAPITALS OF THE WEST INDIES,$600,This Bahamian capital took its name from the family name of King William III of England,Nassau,600,,
187799,5275,2007-07-13,Double Jeopardy!,POP CULTURE: 1999,$1200,"In 1999, Broadway audiences could see ""The Lion King"" or Laurence Fishburne plying King Henry II in this ""Leonine"" play",The Lion In Winter,1200,,
187810,5275,2007-07-13,Double Jeopardy!,THE RESTORATION,$2000,"In his 1690 work ""Two Treatises of Government"", he argued against the Divine Right of Kings",(John) Locke,2000,,
187879,3849,2001-05-03,Jeopardy!,SITCOMS,$100,"According to the series title, parcel delivery man Doug Heffernan is the ""King of"" this",Queens,100,,
188026,5650,2009-03-13,Jeopardy!,19th CENTURY FRANCE,$1000,This son of the King of Holland followed uncle Napoleon's example & became Emperor of the French in 1852,Napoleon III (or Louis-Napoleon),1000,,
188053,5650,2009-03-13,Double Jeopardy!,13-LETTER WORDS,$1600,"Indelibly impressed on the memory, like Nat King Cole",unforgettable,1600,,
188378,5839,2010-01-21,Double Jeopardy!,BACKING BANDS,"$4,200","The Jordanaires have been called ""the sound behind the King"" for their work with him",Elvis Presley,4200,,
188405,5896,2010-04-12,Jeopardy!,IF YOU BUILD IT...,$200,"In the Middle East, the 992-foot Kingdom Center is this country's tallest building",Saudi Arabia,200,,
188429,5896,2010-04-12,Jeopardy!,IF YOU BUILD IT...,$1000,Hollywood's American Cinematheque is based at this theater built during the 1920s King Tut craze,the Egyptian,1000,,
188596,3777,2001-01-23,Jeopardy!,MUSICAL VENUES,$300,Chicago's area for this genre moved from the south side to north side clubs like Kingston Mines,Blues,300,,
188631,3777,2001-01-23,Double Jeopardy!,PORTUGAL,"$1,000",In 1499 King Manuel gave him the title Admiral of the Indian Sea,Vasco da Gama,1000,,
188743,5220,2007-04-27,Double Jeopardy!,BUT YOU CAN NEVER LEAVE,$800,"His 99-year prison term for the murder of Martin Luther King, Jr. ended with his death in 1998",James Earl Ray,800,,
188765,3256,1998-11-02,Jeopardy!,AUTHORS' HOME STATES,$100,Stephen King,Maine,100,,
188825,4159,2002-10-03,Jeopardy!,THE FABULOUS (18)50s,$200,"Accounting for half of all U.S. exports in 1855, this crop was ""King""",cotton,200,,
189108,3129,1998-03-19,Double Jeopardy!,GEOGRAPHY,$600,"In 1861 this island with its Port of Cagliari was ""squeezed"" into the Kingdom of Italy",Sardinia,600,,
189185,4368,2003-09-10,Jeopardy!,BOOKS & AUTHORS,$200,"In 2003 he returned with a new legal thriller, ""The King of Torts""",John Grisham,200,,
189204,4368,2003-09-10,Jeopardy!,"SHE'S CANADIAN, EH?",$800,This jazz vocalist from British Columbia lists Carmen McRae & Nat King Cole as her biggest influences,Diana Krall,800,,
189209,4368,2003-09-10,Jeopardy!,BOOKS & AUTHORS,$1000,In the beginning was this Barbara Kingsolver saga of a Southern missionary & his family in the Belgian Congo,The Poisonwood Bible,1000,,
189372,5381,2008-01-21,Jeopardy!,HISTORIC AMOURS,$400,"When this ""great"" guy became King of Judea, he banished his first wife, Doris, & married a princess named Mariamne",Herod the Great,400,,
189378,5381,2008-01-21,Jeopardy!,HISTORIC AMOURS,$600,"For 13 years, Madame de Montespan was the sunshine of this Sun King's life",Louis XIV,600,,
189468,4817,2005-07-12,Double Jeopardy!,BOOKS & AUTHORS,$1600,"Books like ""Lust for Life"" earned him the nickname ""King of the Biographical Novel""",Irving Stone,1600,,
189691,3650,2000-06-16,Jeopardy!,LET'S PLAY MAH-JONGG,$500,"To pung is to complete a triplet; completing a set of 4 has this name, like a movie ""King""",Kong,500,,
189767,5376,2008-01-14,Double Jeopardy!,GERMAN CITIES,$1200,From 1701 to 1871 it was the capital of the Kingdom of Prussia,Berlin,1200,,
189994,1002,1989-01-03,Double Jeopardy!,MUSIC,$200,"In writing the light opera ""El Capitan"", this ""March King"" wrote a march of the same name",Sousa,200,,
190429,5113,2006-11-29,Double Jeopardy!,THE 19th CENTURY,$1600,"On March 17, 1861 the Kingdom of this country was declared with Victor Emmanuel as its king",Italy,1600,,
190672,3229,1998-09-24,Double Jeopardy!,"CROSSWORD CLUES ""F""",$800,"""Inflammatory"" Stephen King novel           (10)","""Firestarter""",800,,
190708,4325,2003-05-23,Jeopardy!,"DOUBLE-""L"" WORDS",$1000,"Lord Tennyson called his series of 12 poems based on Arthurian legend these ""of the King""","""Idylls of the King""",1000,,
190831,5017,2006-06-06,Double Jeopardy!,"""ME"" IN THE MIDDLE",$400,"""Musical"" home for King Arthur & his kin",Camelot,400,,
190847,5017,2006-06-06,Double Jeopardy!,POLISH HISTORY,$1600,In 1295 Przemysl II first used this crowned white bird on the coat of arms of the Kingdom of Poland,the eagle,1600,,
190988,3609,2000-04-20,Jeopardy!,THANKS FOR THE MEMOIRS,$200,"""King of the World"" chronicles ""The Rise of an American Hero"", this legendary boxer & minister of Islam",Muhammad Ali,200,,
191087,4858,2005-10-26,Double Jeopardy!,PERSONA,$1600,He was the third & favorite son of King David,Absalom,1600,,
191156,3666,2000-07-10,Final Jeopardy!,FAMOUS NAMES,None,"""The Line King"" is a film about this man whose work has been in the New York Times for the last 70 years",Al Hirschfeld,0,,
191399,5213,2007-04-18,Final Jeopardy!,A REAL RENAISSANCE MAN,None,The sudden 1559 death of France's King Henry II in a joust caused some to believe in this man's writings,Nostradamus,0,,
191429,310,1985-11-15,Double Jeopardy!,MYTHOLOGY,$200,Lofty means of escape Daedalus & son Icarus used to flee King Minos,wings,200,,
191504,5911,2010-05-03,Jeopardy!,NO WAY!  IT'S NORWAY!,$400,In 1814 the Norwegian parliament accepted this country's King Charles XIII to rule Norway as well,Sweden,400,,
191579,5453,2008-04-30,Jeopardy!,BATTLES,$800,England's King Harold II lost the all-important Battle of Hastings in this year,1066,800,,
191720,4103,2002-06-05,Double Jeopardy!,STEPHEN KING,$1200,Anthony Hopkins is a mysterious boarder who befriends a young boy in this 2001 film adapted from a King book,Hearts in Atlantis,1200,,
191729,4103,2002-06-05,Double Jeopardy!,MNEMONICS,"$4,000","In biology's ""King Philip came over from Germany Saturday"", K & P are kingdom & phylum; G & S are these",genus & species,4000,,
191732,4103,2002-06-05,Double Jeopardy!,STEPHEN KING,$2000,"""Needful Things"" was King's last story set in this fictional town, also the name of an entertainment company","Castle Rock, Maine",2000,,
192079,969,1988-11-17,Double Jeopardy!,WORLD HISTORY,$600,"""Great"" King of Prussia whose last words were ""I am tired of ruling over slaves""",Frederick the Great/Frederick II,600,,
192245,6292,2012-01-17,Jeopardy!,ORDINALLY SPEAKING,$1000,"Joining the ranks of the Pyramids & the Pharos of Alexandria, King Kong was dubbed this on film",the eighth wonder of the world,1000,,
192265,6292,2012-01-17,Double Jeopardy!,NORWAY'S CULTURE & HISTORY,$1600,"(<a href=""http://www.j-archive.com/media/2012-01-17_DJ_25.jpg"" target=""_blank"">Sarah of the Clue Crew stands in front of the Royal Palace in Oslo, Norway.</a>) King Harald V lives here, in Norway's Royal Palace. He and his second cousin, England's Queen Elizabeth, are both great-grandchildren of this British king, who ruled from 1901 to 1910.",Edward VII,1600,,
192508,6223,2011-10-12,Double Jeopardy!,WOODS,$1600,"The boy in this Shel Silverstein book gathers the title character's leaves & plays ""King of the Forest""",The Giving Tree,1600,,
192532,4313,2003-05-07,Jeopardy!,BESTSELLERS,$600,"This journalist's memoir ""Kingdom of Fear"" recounts his run for sheriff of Aspen on the Freak Power ticket",Hunter S. Thompson,600,,
192534,4313,2003-05-07,Jeopardy!,SHE'S A SAINT,$600,"Queen Margaret, the wife of King Malcolm Canmore, is this country's only female saint",Scotland,600,,
192966,6175,2011-06-17,Double Jeopardy!,HERO SANDWICH,$800,England's King _____ _____ R. Luce,John Henry,800,,
193175,4082,2002-05-07,Jeopardy!,"WELCOME BACK, CARTER",$800,This archaeologist made a great find in the Valley of the Kings in 1922,Howard Carter,800,,
193373,2623,1996-01-17,Double Jeopardy!,1964,$600,"This country's King Constantine, the world's youngest monarch, was married in September",Greece,600,,
193397,4702,2005-02-01,Jeopardy!,RECENT CINEMA,$400,"In a 2004 sequel, this ogre travels to meet his in-laws, King Harold & Queen Lillian",Shrek 2,400,,
193574,5447,2008-04-22,Jeopardy!,HOTEL,$200,The 460-room King Kamehameha's Kona Beach Hotel in this state stands on the grounds where the man once resided,Hawaii,200,,
193679,4212,2002-12-17,Double Jeopardy!,SHORT STORIES,$2000,"His first book, ""Cabbages and Kings"", is a series of loosely-linked short stories about adventures in Central America",O. Henry,2000,,
193730,3392,1999-05-11,Double Jeopardy!,SAUL BELLOW'S LIBRARY,$800,"Bellow's favorite of his own novels, ""Henderson the Rain King"", tells of an American's adventures on this continent",Africa,800,,
193744,5915,2010-05-07,Jeopardy!,CELEBRITY MOMS,$200,No doubt you know that this No Doubt singer has sons named Kingston & Zuma,Gwen Stefani,200,,
193745,5915,2010-05-07,Jeopardy!,HOTELS,$200,"Overlooking the Old City, King David Hotel is at 23 King David St. in this city",Jerusalem,200,,
193878,3168,1998-05-13,Jeopardy!,THE OLD TESTAMENT,$400,"He told King Darius, ""My god hath sent his angel, and hath shut the lions' mouths""",Daniel,400,,
194068,3184,1998-06-04,Jeopardy!,IN THE SPIRIT,$500,"Possibly inhabited by a piano-playing ghost, the Stanley Hotel in Colorado inspired this Stephen King tale","""The Shining""",500,,
194327,4234,2003-01-16,Double Jeopardy!,"""Z"" END",$800,"Johann Strauss, Jr. was the ""King"" of it",waltz,800,,
194516,6114,2011-03-24,Double Jeopardy!,THE YUCKS STOP HERE,$1600,"The ""Monty Python"" member who played King Arthur, he ended his grail quest in Maidstone, England",Graham Chapman,1600,,
194796,5090,2006-10-27,Jeopardy!,20th CENTURY SPORTS,$1000,"This 1972 newsmaker became the ""King of Amateur Swimming""",Mark Spitz,1000,,
194994,4758,2005-04-20,Double Jeopardy!,"""T"" TIME",$2000,"It's the ""bewitching"" first name of Stephen King's wife; she's an author, too",Tabitha,2000,,
195114,3590,2000-03-24,Double Jeopardy!,"HEY ""LADY""!",$1000,"In Mallory's version, the magic sword Excalibur is given to King Arthur by this legendary character",The Lady of the Lake,1000,,
195278,1296,1990-04-02,Double Jeopardy!,PALACES,$600,King of Bavaria whose Neuschwanstein Castle might be called a monument to his madness,Ludwig II,600,,
195293,5211,2007-04-16,Jeopardy!,BROADWAY ROLES,$200,"In 1951 he was ""The King""; Gertrude Lawrence was ""I""",Yul Brynner,200,,
195323,5211,2007-04-16,Double Jeopardy!,MUSICAL NOBILITY,$400,"Born in 1935, he became, simply, ""The King""",Elvis Presley,400,,
195627,3011,1997-10-06,Double Jeopardy!,TAKE ME OUT TO THE BALLPARK,$600,"On May 4, 1984 Dave Kingman hit a ball through the roof of this Twins park but was only credited with a double",the Metrodome,600,,
195631,3011,1997-10-06,Double Jeopardy!,B.C. WOMEN,$600,"The song of this woman, who led the tribes of Israel to defeat King Jabin, is found in the book of Judges",Deborah,600,,
195721,6217,2011-10-04,Jeopardy!,PAN AM IN THE '60s,$600,"(<a href=""http://www.j-archive.com/media/2011-10-04_J_28.jpg"" target=""_blank"">I'm Karine Vanisse.</a>)  In the '60s this movie spy gave the airline some early product placement as a frequent Pan Am flyer; to Kingston in ""Dr. No"", to Istanbul in ""From Russia With Love""",James Bond,600,,
195885,5064,2006-09-21,Jeopardy!,PARENTS,$200,"In the Bible, King Solomon takes the throne of this man, his father",David,200,,
195897,5064,2006-09-21,Jeopardy!,PARENTS,"$1,600",Maiden name of the mother of Martin Luther King III,Scott,1600,,
195982,5424,2008-03-20,Double Jeopardy!,MIKE TV,$1200,"He created ""Beavis & Butt-Head"" & co-created ""King of the Hill""",Mike Judge,1200,,
196038,3747,2000-12-12,Double Jeopardy!,KIDDY LIT,$400,"This ""Soul Provider"" singer made his debut as a children's book author with 1997's ""The Secret of the Lost Kingdom""",Michael Bolton,400,,
196222,280,1985-10-04,Double Jeopardy!,THE BIBLE,$600,King whose reign was so rich that silver was said to have been as common as stones in Jerusalem,Solomon,600,,
196390,2958,1997-06-11,Double Jeopardy!,LITERATURE,$400,"This author's ""The Man Who Would Be King"" has been called the perfect short story",Rudyard Kipling,400,,
196652,4601,2004-09-13,Jeopardy!,CAR TREK,$400,"In a Stephen King-based movie, this title vehicle was a red 1958 Plymouth Fury",Christine,400,,
196766,5063,2006-09-20,Jeopardy!,LEGENDS OF THE SILENT SCREEN,$200,"Known as ""The King of the Swashbucklers"", Douglas Fairbanks is seen <a href=""http://www.j-archive.com/media/2006-09-20_J_08.wmv"">here</a> in this title masked role in a 1920 film",Zorro,200,,
196812,5063,2006-09-20,Double Jeopardy!,"""EPI"" CURIOUS",$1200,"Dr. King’s reads, ""Free at last, free at last, thank God Almighty, I’m free at last!""",an epitaph,1200,,
196967,1308,1990-04-18,Jeopardy!,PEOPLE,$400,"In ""And the Walls Came Tumbling Down"", this former SCLC head wrote about Dr. Martin Luther King Jr.",Dr. Ralph Abernathy,400,,
197029,5351,2007-12-10,Jeopardy!,WHEN DID IT HAPPEN?,$1000,King John affixed his seal to the Magna Carta at Runnymede in June of this year,1215,1000,,
197127,5801,2009-11-30,Jeopardy!,I HAVE 5 KINGS,$200,"The Valley of the Kings lies on the west bank of this river, across from Luxor",the Nile,200,,
197149,5801,2009-11-30,Jeopardy!,I HAVE 5 KINGS,$1000,In 1926 W.L. MacKenzie King was prime minister of this country twice (he gave it up in June but had it back by September),Canada,1000,,
